VendorNumber,InvoiceDate,PODate,PayDate,Freight,Approval,IDInvoicePurchases,IDPurchases
9622,2016-04-15,2016-03-31,2016-05-19,2.94,,1496,1496
9625,2016-04-14,2016-03-30,2016-05-20,13.31,,1497,1497
3664,2016-04-12,2016-03-30,2016-05-28,344.48,,1498,1498
9815,2016-04-13,2016-03-31,2016-05-26,361.09,,1499,1499
90058,2016-04-12,2016-03-27,2016-05-22,8.44,,1500,1500
4466,2016-04-20,2016-04-04,2016-06-04,25.02,,1501,1501
388,2016-04-24,2016-04-04,2016-05-22,2.03,,1502,1502
480,2016-04-20,2016-04-05,2016-05-30,1051.0,,1503,1503
516,2016-04-19,2016-04-07,2016-06-03,126.64,,1504,1504
2396,2016-04-24,2016-04-07,2016-05-31,0.28,,1505,1505
1265,2016-04-22,2016-04-04,2016-05-28,0.23,,1506,1506
1003,2016-04-21,2016-04-04,2016-05-24,0.8,,1507,1507
1128,2016-04-18,2016-04-06,2016-06-01,857.3,,1508,1508
1189,2016-04-24,2016-04-03,2016-05-29,19.04,,1509,1509
1273,2016-04-25,2016-04-03,2016-06-02,28.81,,1510,1510
11567,2016-04-25,2016-04-05,2016-05-30,233.81,,1511,1511
90046,2016-04-25,2016-04-03,2016-05-24,1.25,,1512,1512
1485,2016-04-25,2016-04-03,2016-06-01,65.74,,1513,1513
2876,2016-04-25,2016-04-06,2016-05-30,0.51,,1514,1514
4380,2016-04-19,2016-04-03,2016-05-25,25.41,,1515,1515
1392,2016-04-23,2016-04-03,2016-05-24,1172.02,,1516,1516
90047,2016-04-20,2016-04-06,2016-05-22,13.02,,1517,1517
2242,2016-04-22,2016-04-07,2016-05-30,89.86,,1518,1518
1590,2016-04-23,2016-04-04,2016-05-27,69.35,,1519,1519
3960,2016-04-18,2016-04-03,2016-05-24,3151.55,Frank Delahunt,1520,1520
2555,2016-04-25,2016-04-03,2016-05-22,59.34,,1521,1521
2450,2016-04-20,2016-04-08,2016-05-29,2.62,,1522,1522
2496,2016-04-26,2016-04-05,2016-05-20,9.39,,1523,1523
17037,2016-04-20,2016-04-07,2016-05-23,4.31,,1524,1524
3252,2016-04-23,2016-04-04,2016-05-31,813.7,,1525,1525
2561,2016-04-24,2016-04-08,2016-05-21,221.74,,1526,1526
1655,2016-04-24,2016-04-07,2016-05-24,20.75,,1527,1527
17031,2016-04-21,2016-04-03,2016-06-03,25.22,,1528,1528
90011,2016-04-22,2016-04-06,2016-05-30,3.85,,1529,1529
9744,2016-04-24,2016-04-06,2016-05-30,37.85,,1530,1530
90051,2016-04-20,2016-04-08,2016-05-30,1.58,,1531,1531
90052,2016-04-26,2016-04-03,2016-06-02,0.54,,1532,1532
3924,2016-04-22,2016-04-05,2016-05-28,224.32,,1533,1533
3950,2016-04-22,2016-04-06,2016-05-22,1.86,,1534,1534
90053,2016-04-24,2016-04-07,2016-05-22,1.63,,1535,1535
17032,2016-04-23,2016-04-06,2016-06-01,4.1,,1536,1536
12546,2016-04-20,2016-04-08,2016-05-21,1805.87,Frank Delahunt,1537,1537
4550,2016-04-25,2016-04-06,2016-06-02,6.53,,1538,1538
4692,2016-04-19,2016-04-07,2016-06-03,165.3,,1539,1539
90032,2016-04-21,2016-04-07,2016-05-21,8.55,,1540,1540
4848,2016-04-21,2016-04-04,2016-05-30,7.25,,1541,1541
4950,2016-04-24,2016-04-08,2016-05-27,12.05,,1542,1542
8352,2016-04-25,2016-04-06,2016-05-24,150.56,,1543,1543
9552,2016-04-22,2016-04-07,2016-05-25,753.43,,1544,1544
10000,2016-04-23,2016-04-08,2016-05-21,243.14,,1545,1545
5455,2016-04-21,2016-04-06,2016-05-31,16.3,,1546,1546
4425,2016-04-21,2016-04-07,2016-06-03,16.44,,1547,1547
4425,2016-04-21,2016-04-06,2016-05-31,1657.99,Frank Delahunt,1548,1548
5992,2016-04-26,2016-04-03,2016-05-23,19.46,,1549,1549
6213,2016-04-23,2016-04-04,2016-05-26,103.95,,1550,1550
5612,2016-04-25,2016-04-06,2016-05-20,0.52,,1551,1551
8112,2016-04-23,2016-04-06,2016-05-25,604.69,,1552,1552
6215,2016-04-20,2016-04-08,2016-05-21,6.45,,1553,1553
6355,2016-04-26,2016-04-06,2016-05-30,5.07,,1554,1554
6359,2016-04-24,2016-04-03,2016-05-19,10.78,,1555,1555
6785,2016-04-24,2016-04-03,2016-05-20,154.66,,1556,1556
10754,2016-04-25,2016-04-08,2016-05-20,488.8,,1557,1557
17035,2016-04-23,2016-04-03,2016-05-23,1336.37,,1558,1558
9206,2016-04-24,2016-04-03,2016-05-27,28.53,,1559,1559
7153,2016-04-25,2016-04-04,2016-05-24,163.2,,1560,1560
90027,2016-04-21,2016-04-03,2016-05-30,2.4,,1561,1561
7154,2016-04-19,2016-04-04,2016-06-05,2.43,,1562,1562
7240,2016-04-22,2016-04-03,2016-06-04,2.87,,1563,1563
7245,2016-04-18,2016-04-03,2016-05-29,548.43,,1564,1564
7255,2016-04-24,2016-04-05,2016-05-24,10.23,,1565,1565
7239,2016-04-18,2016-04-06,2016-05-20,241.87,,1566,1566
10050,2016-04-25,2016-04-07,2016-05-29,4.77,,1567,1567
8004,2016-04-25,2016-04-08,2016-05-28,829.09,,1568,1568
660,2016-04-22,2016-04-05,2016-06-05,282.98,,1569,1569
17033,2016-04-20,2016-04-07,2016-06-03,4.98,,1570,1570
8150,2016-04-24,2016-04-03,2016-05-29,2.45,,1571,1571
98450,2016-04-26,2016-04-05,2016-05-23,6.91,,1572,1572
8320,2016-04-24,2016-04-04,2016-06-03,43.18,,1573,1573
3089,2016-04-23,2016-04-06,2016-06-02,109.32,,1574,1574
28750,2016-04-25,2016-04-07,2016-05-27,2.79,,1575,1575
2000,2016-04-19,2016-04-08,2016-06-01,192.36,,1576,1576
653,2016-04-20,2016-04-07,2016-05-31,125.22,,1577,1577
8673,2016-04-20,2016-04-04,2016-05-23,183.03,,1578,1578
12331,2016-04-19,2016-04-07,2016-05-30,1.77,,1579,1579
8664,2016-04-26,2016-04-04,2016-06-01,189.14,,1580,1580
8735,2016-04-25,2016-04-08,2016-06-04,15.1,,1581,1581
90056,2016-04-26,2016-04-05,2016-05-22,7.64,,1582,1582
172662,2016-04-21,2016-04-05,2016-05-19,15.33,,1583,1583
8920,2016-04-24,2016-04-05,2016-05-30,2.63,,1584,1584
28776,2016-04-18,2016-04-04,2016-05-21,2.92,,1585,1585
173357,2016-04-26,2016-04-06,2016-06-03,28.17,,1586,1586
90017,2016-04-23,2016-04-06,2016-05-19,2.32,,1587,1587
9819,2016-04-20,2016-04-04,2016-05-29,181.05,,1588,1588
8892,2016-04-25,2016-04-08,2016-06-02,157.53,,1589,1589
9260,2016-04-25,2016-04-05,2016-06-03,0.35,,1590,1590
9165,2016-04-24,2016-04-04,2016-06-01,1064.42,,1591,1591
90010,2016-04-18,2016-04-03,2016-05-23,5.11,,1592,1592
1587,2016-04-18,2016-04-04,2016-05-23,83.17,,1593,1593
90024,2016-04-19,2016-04-04,2016-05-25,64.42,,1594,1594
1601,2016-04-23,2016-04-05,2016-06-04,3.88,,1595,1595
9622,2016-04-23,2016-04-03,2016-05-28,1.92,,1596,1596
9625,2016-04-23,2016-04-04,2016-05-20,20.14,,1597,1597
3664,2016-04-20,2016-04-08,2016-05-19,343.36,,1598,1598
9815,2016-04-22,2016-04-05,2016-05-26,378.54,,1599,1599
90058,2016-04-18,2016-04-05,2016-05-31,5.77,,1600,1600
1703,2016-04-30,2016-04-10,2016-06-10,1.26,,1601,1601
105,2016-04-28,2016-04-10,2016-06-12,2.31,,1602,1602
4466,2016-04-29,2016-04-15,2016-06-07,13.6,,1603,1603
388,2016-04-29,2016-04-13,2016-06-06,2.61,,1604,1604
480,2016-04-30,2016-04-11,2016-05-26,1209.49,Frank Delahunt,1605,1605
516,2016-04-29,2016-04-11,2016-05-30,101.94,,1606,1606
1265,2016-05-01,2016-04-14,2016-05-31,0.97,,1607,1607
1128,2016-05-03,2016-04-13,2016-06-09,1035.06,,1608,1608
1189,2016-04-26,2016-04-14,2016-06-07,74.7,,1609,1609
1273,2016-04-30,2016-04-13,2016-05-27,11.72,,1610,1610
11567,2016-04-25,2016-04-14,2016-05-27,305.56,,1611,1611
90046,2016-05-03,2016-04-12,2016-06-02,0.54,,1612,1612
1485,2016-05-03,2016-04-14,2016-06-11,110.54,,1613,1613
2876,2016-04-28,2016-04-10,2016-06-02,0.6,,1614,1614
4380,2016-04-25,2016-04-13,2016-06-11,34.31,,1615,1615
1650,2016-05-02,2016-04-10,2016-06-10,7.75,,1616,1616
1392,2016-04-28,2016-04-12,2016-05-26,1196.25,,1617,1617
90047,2016-04-30,2016-04-12,2016-06-04,12.99,,1618,1618
2242,2016-04-26,2016-04-14,2016-05-29,73.0,,1619,1619
1590,2016-04-29,2016-04-15,2016-06-09,45.61,,1620,1620
3960,2016-05-01,2016-04-13,2016-06-02,3532.97,Frank Delahunt,1621,1621
2555,2016-04-26,2016-04-13,2016-05-29,87.53,,1622,1622
2450,2016-05-02,2016-04-13,2016-05-28,2.87,,1623,1623
2496,2016-05-02,2016-04-15,2016-06-08,11.01,,1624,1624
17037,2016-04-30,2016-04-11,2016-06-12,2.97,,1625,1625
3252,2016-04-28,2016-04-12,2016-05-30,856.77,,1626,1626
2561,2016-05-03,2016-04-15,2016-05-27,133.44,,1627,1627
1655,2016-04-30,2016-04-12,2016-06-03,22.32,,1628,1628
17031,2016-04-26,2016-04-10,2016-05-26,17.39,,1629,1629
90011,2016-04-29,2016-04-11,2016-06-01,9.03,,1630,1630
9744,2016-05-01,2016-04-14,2016-06-03,61.31,,1631,1631
90051,2016-05-01,2016-04-13,2016-05-28,1.3,,1632,1632
3924,2016-04-30,2016-04-13,2016-06-09,282.66,,1633,1633
3950,2016-04-29,2016-04-13,2016-06-08,1.17,,1634,1634
90053,2016-04-26,2016-04-15,2016-06-12,0.96,,1635,1635
17032,2016-04-29,2016-04-15,2016-05-28,2.53,,1636,1636
12546,2016-04-30,2016-04-13,2016-06-12,1728.03,Frank Delahunt,1637,1637
4550,2016-05-02,2016-04-12,2016-06-01,8.48,,1638,1638
4692,2016-05-02,2016-04-13,2016-06-04,116.03,,1639,1639
90032,2016-04-26,2016-04-11,2016-06-06,4.87,,1640,1640
4848,2016-05-03,2016-04-13,2016-06-06,7.35,,1641,1641
4950,2016-04-26,2016-04-11,2016-05-28,10.86,,1642,1642
8352,2016-05-03,2016-04-13,2016-06-10,158.56,,1643,1643
9552,2016-04-26,2016-04-15,2016-05-31,652.12,,1644,1644
10000,2016-05-03,2016-04-13,2016-06-09,244.69,,1645,1645
5455,2016-04-30,2016-04-15,2016-05-30,22.95,,1646,1646
4425,2016-04-29,2016-04-15,2016-05-26,6.91,,1647,1647
4425,2016-05-02,2016-04-15,2016-06-10,1589.05,Frank Delahunt,1648,1648
5992,2016-05-02,2016-04-10,2016-06-03,24.75,,1649,1649
6213,2016-05-01,2016-04-12,2016-06-04,159.13,,1650,1650
8112,2016-04-29,2016-04-15,2016-05-29,798.48,,1651,1651
6215,2016-04-26,2016-04-13,2016-06-07,3.44,,1652,1652
6355,2016-04-28,2016-04-13,2016-06-08,4.53,,1653,1653
6359,2016-04-26,2016-04-11,2016-06-01,193.99,,1654,1654
6785,2016-04-27,2016-04-10,2016-06-02,185.65,,1655,1655
10754,2016-05-02,2016-04-12,2016-06-04,294.29,,1656,1656
17035,2016-05-01,2016-04-15,2016-05-28,1694.66,Frank Delahunt,1657,1657
9206,2016-05-03,2016-04-12,2016-06-09,37.8,,1658,1658
7153,2016-04-29,2016-04-14,2016-06-10,305.03,,1659,1659
90027,2016-05-03,2016-04-10,2016-06-11,1.19,,1660,1660
7154,2016-05-01,2016-04-15,2016-05-28,11.51,,1661,1661
7240,2016-04-26,2016-04-11,2016-06-04,8.51,,1662,1662
7245,2016-04-26,2016-04-10,2016-05-30,605.76,,1663,1663
7255,2016-04-27,2016-04-14,2016-05-31,12.83,,1664,1664
7239,2016-04-28,2016-04-10,2016-06-08,322.14,,1665,1665
10050,2016-04-30,2016-04-10,2016-05-30,7.22,,1666,1666
8004,2016-04-27,2016-04-10,2016-06-02,736.3,,1667,1667
660,2016-04-27,2016-04-15,2016-05-26,407.91,,1668,1668
17033,2016-04-30,2016-04-10,2016-05-31,0.46,,1669,1669
8150,2016-04-30,2016-04-13,2016-06-04,8.54,,1670,1670
98450,2016-04-28,2016-04-14,2016-06-03,11.13,,1671,1671
8320,2016-05-03,2016-04-12,2016-05-28,50.21,,1672,1672
3089,2016-05-01,2016-04-10,2016-06-05,152.13,,1673,1673
28750,2016-04-29,2016-04-10,2016-06-06,1.35,,1674,1674
2000,2016-04-28,2016-04-14,2016-05-29,216.31,,1675,1675
653,2016-05-01,2016-04-15,2016-06-02,185.94,,1676,1676
8673,2016-04-28,2016-04-13,2016-06-10,177.08,,1677,1677
12331,2016-04-28,2016-04-15,2016-06-07,1.1,,1678,1678
8664,2016-05-03,2016-04-12,2016-06-06,248.06,,1679,1679
8735,2016-05-03,2016-04-13,2016-05-31,3.81,,1680,1680
90056,2016-05-03,2016-04-14,2016-05-28,8.95,,1681,1681
172662,2016-05-02,2016-04-15,2016-05-29,7.02,,1682,1682
8920,2016-05-02,2016-04-14,2016-06-11,5.13,,1683,1683
173357,2016-05-02,2016-04-13,2016-06-04,1.94,,1684,1684
90017,2016-04-30,2016-04-10,2016-06-04,0.69,,1685,1685
90037,2016-04-30,2016-04-14,2016-06-06,0.41,,1686,1686
9819,2016-04-28,2016-04-11,2016-06-04,188.87,,1687,1687
8892,2016-04-29,2016-04-10,2016-05-27,169.99,,1688,1688
9260,2016-05-02,2016-04-14,2016-06-02,2.39,,1689,1689
9165,2016-04-29,2016-04-12,2016-06-03,828.28,,1690,1690
90010,2016-04-25,2016-04-12,2016-06-05,10.93,,1691,1691
1587,2016-04-30,2016-04-10,2016-05-28,80.36,,1692,1692
90024,2016-04-26,2016-04-13,2016-06-10,27.5,,1693,1693
1601,2016-04-26,2016-04-14,2016-06-09,8.32,,1694,1694
90057,2016-05-03,2016-04-10,2016-06-10,2.0,,1695,1695
9622,2016-04-28,2016-04-13,2016-06-09,2.34,,1696,1696
9625,2016-04-28,2016-04-15,2016-06-10,26.03,,1697,1697
3664,2016-05-03,2016-04-11,2016-06-06,456.91,,1698,1698
9815,2016-05-03,2016-04-12,2016-05-26,411.55,,1699,1699
90058,2016-04-25,2016-04-10,2016-06-06,4.84,,1700,1700
1703,2016-05-10,2016-04-18,2016-06-10,0.72,,1701,1701
105,2016-05-10,2016-04-20,2016-06-10,1.18,,1702,1702
4466,2016-05-09,2016-04-21,2016-06-12,13.73,,1703,1703
388,2016-05-09,2016-04-17,2016-06-04,2.97,,1704,1704
480,2016-05-07,2016-04-19,2016-06-13,1358.81,Frank Delahunt,1705,1705
516,2016-05-06,2016-04-20,2016-06-18,257.67,,1706,1706
1128,2016-05-04,2016-04-19,2016-06-07,1127.02,,1707,1707
1189,2016-05-03,2016-04-22,2016-06-16,8.96,,1708,1708
1273,2016-05-09,2016-04-19,2016-06-17,14.43,,1709,1709
11567,2016-05-10,2016-04-21,2016-06-19,360.75,,1710,1710
90046,2016-05-06,2016-04-18,2016-06-06,0.05,,1711,1711
1485,2016-05-06,2016-04-20,2016-06-02,399.61,,1712,1712
2876,2016-05-06,2016-04-18,2016-06-19,0.22,,1713,1713
4380,2016-05-03,2016-04-22,2016-06-19,23.09,,1714,1714
1650,2016-05-09,2016-04-19,2016-06-05,0.05,,1715,1715
1392,2016-05-09,2016-04-17,2016-06-12,1666.56,Frank Delahunt,1716,1716
90047,2016-05-08,2016-04-20,2016-06-15,16.38,,1717,1717
2242,2016-05-08,2016-04-18,2016-06-19,66.18,,1718,1718
1590,2016-05-02,2016-04-20,2016-06-15,55.28,,1719,1719
3960,2016-05-07,2016-04-22,2016-06-14,4792.44,Frank Delahunt,1720,1720
2555,2016-05-08,2016-04-17,2016-06-08,272.4,,1721,1721
2450,2016-05-02,2016-04-17,2016-06-12,2.16,,1722,1722
2496,2016-05-06,2016-04-21,2016-06-02,10.28,,1723,1723
17037,2016-05-06,2016-04-21,2016-06-10,3.27,,1724,1724
3252,2016-05-09,2016-04-22,2016-06-17,1356.37,Frank Delahunt,1725,1725
2561,2016-05-09,2016-04-19,2016-06-13,197.51,,1726,1726
1655,2016-05-03,2016-04-20,2016-06-07,127.64,,1727,1727
17031,2016-05-07,2016-04-19,2016-06-13,21.4,,1728,1728
90011,2016-05-08,2016-04-17,2016-06-17,8.48,,1729,1729
9744,2016-05-04,2016-04-18,2016-06-12,55.89,,1730,1730
90052,2016-05-06,2016-04-19,2016-06-13,1.61,,1731,1731
3924,2016-05-10,2016-04-21,2016-06-16,262.08,,1732,1732
3950,2016-05-03,2016-04-22,2016-06-09,0.6,,1733,1733
90053,2016-05-10,2016-04-19,2016-06-05,1.53,,1734,1734
2,2016-05-09,2016-04-19,2016-06-08,26.11,,1735,1735
17032,2016-05-04,2016-04-19,2016-06-08,3.86,,1736,1736
12546,2016-05-04,2016-04-22,2016-06-17,2343.39,Frank Delahunt,1737,1737
4550,2016-05-05,2016-04-22,2016-06-03,5.45,,1738,1738
4692,2016-05-07,2016-04-22,2016-06-16,169.87,,1739,1739
90032,2016-05-02,2016-04-17,2016-06-04,6.59,,1740,1740
4848,2016-05-08,2016-04-22,2016-06-14,6.4,,1741,1741
4950,2016-05-05,2016-04-19,2016-06-14,15.43,,1742,1742
8352,2016-05-04,2016-04-19,2016-06-04,143.03,,1743,1743
9552,2016-05-10,2016-04-20,2016-06-07,915.97,,1744,1744
10000,2016-05-05,2016-04-18,2016-06-02,374.33,,1745,1745
5455,2016-05-05,2016-04-22,2016-06-02,7.33,,1746,1746
4425,2016-05-06,2016-04-22,2016-06-05,6.31,,1747,1747
4425,2016-05-04,2016-04-18,2016-06-08,2367.25,Frank Delahunt,1748,1748
5992,2016-05-03,2016-04-18,2016-06-13,54.59,,1749,1749
6213,2016-05-09,2016-04-21,2016-06-07,123.23,,1750,1750
8112,2016-05-08,2016-04-20,2016-06-03,874.99,,1751,1751
6215,2016-05-04,2016-04-17,2016-06-18,5.25,,1752,1752
6355,2016-05-04,2016-04-21,2016-06-06,4.33,,1753,1753
6359,2016-05-08,2016-04-21,2016-06-08,24.96,,1754,1754
6785,2016-05-04,2016-04-22,2016-06-15,396.23,,1755,1755
10754,2016-05-04,2016-04-20,2016-06-03,366.15,,1756,1756
17035,2016-05-05,2016-04-18,2016-06-06,2356.73,Frank Delahunt,1757,1757
9206,2016-05-04,2016-04-18,2016-06-05,21.13,,1758,1758
7153,2016-05-02,2016-04-18,2016-06-04,243.2,,1759,1759
90027,2016-05-09,2016-04-17,2016-06-06,3.61,,1760,1760
7154,2016-05-04,2016-04-18,2016-06-04,8.01,,1761,1761
7240,2016-05-04,2016-04-20,2016-06-19,4.32,,1762,1762
7245,2016-05-02,2016-04-20,2016-06-09,1196.54,,1763,1763
7255,2016-05-05,2016-04-18,2016-06-08,14.65,,1764,1764
7239,2016-05-07,2016-04-21,2016-06-11,230.75,,1765,1765
10050,2016-05-02,2016-04-18,2016-06-10,4.06,,1766,1766
8004,2016-05-05,2016-04-19,2016-06-08,943.7,,1767,1767
660,2016-05-07,2016-04-19,2016-06-05,306.65,,1768,1768
17033,2016-05-06,2016-04-21,2016-06-18,1.96,,1769,1769
8150,2016-05-05,2016-04-17,2016-06-04,8.43,,1770,1770
98450,2016-05-02,2016-04-20,2016-06-11,12.3,,1771,1771
8320,2016-05-09,2016-04-17,2016-06-10,53.96,,1772,1772
3089,2016-05-02,2016-04-19,2016-06-18,396.97,,1773,1773
2000,2016-05-08,2016-04-19,2016-06-09,465.27,,1774,1774
653,2016-05-05,2016-04-20,2016-06-10,110.78,,1775,1775
8673,2016-05-02,2016-04-20,2016-06-08,209.6,,1776,1776
8664,2016-05-04,2016-04-21,2016-06-07,372.98,,1777,1777
8735,2016-05-04,2016-04-17,2016-06-02,2.6,,1778,1778
90056,2016-05-03,2016-04-19,2016-06-11,6.93,,1779,1779
8920,2016-05-06,2016-04-21,2016-06-17,2.18,,1780,1780
28776,2016-05-10,2016-04-17,2016-06-05,2.66,,1781,1781
173357,2016-05-06,2016-04-22,2016-06-03,1.62,,1782,1782
90017,2016-05-10,2016-04-19,2016-06-14,0.69,,1783,1783
90037,2016-05-03,2016-04-17,2016-06-13,0.56,,1784,1784
9819,2016-05-07,2016-04-22,2016-06-05,347.48,,1785,1785
8892,2016-05-10,2016-04-21,2016-06-11,161.88,,1786,1786
9260,2016-05-07,2016-04-19,2016-06-10,13.8,,1787,1787
9165,2016-05-03,2016-04-19,2016-06-05,1296.77,Frank Delahunt,1788,1788
9751,2016-05-02,2016-04-21,2016-06-18,0.64,,1789,1789
90010,2016-05-04,2016-04-20,2016-06-15,9.53,,1790,1790
1587,2016-05-07,2016-04-22,2016-06-12,60.47,,1791,1791
90024,2016-05-07,2016-04-19,2016-06-03,39.28,,1792,1792
1601,2016-05-05,2016-04-21,2016-06-05,16.48,,1793,1793
90057,2016-05-09,2016-04-19,2016-06-15,0.7,,1794,1794
9622,2016-05-03,2016-04-19,2016-06-12,3.47,,1795,1795
9625,2016-05-09,2016-04-17,2016-06-10,18.48,,1796,1796
3664,2016-05-04,2016-04-19,2016-06-17,817.79,,1797,1797
9815,2016-05-09,2016-04-18,2016-06-18,611.92,,1798,1798
90058,2016-05-06,2016-04-21,2016-06-16,11.26,,1799,1799
1703,2016-05-11,2016-04-27,2016-06-17,1.17,,1800,1800
105,2016-05-16,2016-04-26,2016-06-25,3.12,,1801,1801
4466,2016-05-14,2016-04-29,2016-06-26,14.97,,1802,1802
287,2016-05-12,2016-04-28,2016-06-23,1.23,,1803,1803
388,2016-05-11,2016-04-27,2016-06-14,1.96,,1804,1804
480,2016-05-16,2016-04-25,2016-06-20,1341.24,Frank Delahunt,1805,1805
516,2016-05-09,2016-04-28,2016-06-20,259.95,,1806,1806
2396,2016-05-16,2016-04-29,2016-06-23,0.26,,1807,1807
1128,2016-05-10,2016-04-29,2016-06-12,1138.88,,1808,1808
1189,2016-05-17,2016-04-29,2016-06-24,14.43,,1809,1809
1273,2016-05-16,2016-04-24,2016-06-24,13.93,,1810,1810
11567,2016-05-13,2016-04-26,2016-06-25,449.11,,1811,1811
90046,2016-05-15,2016-04-28,2016-06-13,4.12,,1812,1812
1485,2016-05-12,2016-04-25,2016-06-23,176.35,,1813,1813
2876,2016-05-12,2016-04-29,2016-06-14,1.27,,1814,1814
4380,2016-05-15,2016-04-24,2016-06-15,27.99,,1815,1815
1650,2016-05-16,2016-04-26,2016-06-25,3.69,,1816,1816
1392,2016-05-11,2016-04-26,2016-06-22,1486.21,Frank Delahunt,1817,1817
90047,2016-05-09,2016-04-26,2016-06-13,17.96,,1818,1818
2242,2016-05-10,2016-04-25,2016-06-18,102.1,,1819,1819
1590,2016-05-12,2016-04-27,2016-06-24,62.04,,1820,1820
3960,2016-05-10,2016-04-24,2016-06-11,4052.76,Frank Delahunt,1821,1821
2555,2016-05-10,2016-04-24,2016-06-26,113.57,,1822,1822
2450,2016-05-17,2016-04-25,2016-06-12,4.12,,1823,1823
2496,2016-05-12,2016-04-29,2016-06-19,14.94,,1824,1824
17037,2016-05-14,2016-04-26,2016-06-15,4.96,,1825,1825
3252,2016-05-12,2016-04-26,2016-06-20,1343.41,Frank Delahunt,1826,1826
2561,2016-05-17,2016-04-29,2016-06-20,161.7,,1827,1827
1655,2016-05-11,2016-04-28,2016-06-18,222.88,,1828,1828
90033,2016-05-17,2016-04-25,2016-06-10,0.3,,1829,1829
17031,2016-05-09,2016-04-27,2016-06-13,35.77,,1830,1830
90011,2016-05-13,2016-04-25,2016-06-12,4.01,,1831,1831
9744,2016-05-09,2016-04-25,2016-06-14,92.03,,1832,1832
90051,2016-05-13,2016-04-24,2016-06-09,2.91,,1833,1833
90052,2016-05-10,2016-04-26,2016-06-15,1.01,,1834,1834
3924,2016-05-13,2016-04-29,2016-06-12,287.29,,1835,1835
3950,2016-05-17,2016-04-28,2016-06-18,2.38,,1836,1836
90053,2016-05-15,2016-04-25,2016-06-09,3.97,,1837,1837
17032,2016-05-16,2016-04-25,2016-06-14,5.52,,1838,1838
12546,2016-05-12,2016-04-29,2016-06-22,1964.17,Frank Delahunt,1839,1839
4550,2016-05-16,2016-04-25,2016-06-24,11.95,,1840,1840
4692,2016-05-15,2016-04-26,2016-06-19,114.22,,1841,1841
90032,2016-05-09,2016-04-29,2016-06-20,20.95,,1842,1842
4848,2016-05-10,2016-04-27,2016-06-09,88.58,,1843,1843
4950,2016-05-10,2016-04-28,2016-06-09,12.27,,1844,1844
8352,2016-05-11,2016-04-26,2016-06-21,169.04,,1845,1845
9552,2016-05-16,2016-04-25,2016-06-09,1006.13,,1846,1846
10000,2016-05-16,2016-04-29,2016-06-23,368.75,,1847,1847
5455,2016-05-12,2016-04-29,2016-06-23,20.6,,1848,1848
4425,2016-05-12,2016-04-26,2016-06-23,6.89,,1849,1849
4425,2016-05-11,2016-04-27,2016-06-24,2251.23,Frank Delahunt,1850,1850
5992,2016-05-15,2016-04-29,2016-06-09,26.63,,1851,1851
6213,2016-05-09,2016-04-24,2016-06-17,172.78,,1852,1852
5612,2016-05-10,2016-04-25,2016-06-23,0.51,,1853,1853
8112,2016-05-16,2016-04-28,2016-06-16,943.37,,1854,1854
6215,2016-05-16,2016-04-28,2016-06-09,5.84,,1855,1855
6355,2016-05-11,2016-04-29,2016-06-23,2.62,,1856,1856
6359,2016-05-09,2016-04-25,2016-06-15,135.01,,1857,1857
6785,2016-05-12,2016-04-29,2016-06-26,300.64,,1858,1858
10754,2016-05-15,2016-04-25,2016-06-16,543.99,,1859,1859
17035,2016-05-10,2016-04-29,2016-06-10,1982.43,Frank Delahunt,1860,1860
9206,2016-05-16,2016-04-27,2016-06-10,41.59,,1861,1861
7153,2016-05-09,2016-04-27,2016-06-24,265.61,,1862,1862
90027,2016-05-14,2016-04-26,2016-06-16,1.31,,1863,1863
7154,2016-05-14,2016-04-27,2016-06-17,12.07,,1864,1864
7240,2016-05-15,2016-04-28,2016-06-14,6.52,,1865,1865
7245,2016-05-17,2016-04-27,2016-06-23,965.13,,1866,1866
7255,2016-05-17,2016-04-24,2016-06-22,20.04,,1867,1867
7749,2016-05-17,2016-04-25,2016-06-24,1.78,,1868,1868
7239,2016-05-10,2016-04-26,2016-06-09,298.74,,1869,1869
10050,2016-05-10,2016-04-29,2016-06-23,9.22,,1870,1870
8004,2016-05-09,2016-04-24,2016-06-19,861.0,,1871,1871
660,2016-05-13,2016-04-24,2016-06-14,432.16,,1872,1872
17033,2016-05-14,2016-04-29,2016-06-17,10.88,,1873,1873
8150,2016-05-11,2016-04-25,2016-06-19,8.92,,1874,1874
98450,2016-05-16,2016-04-25,2016-06-11,18.37,,1875,1875
8320,2016-05-12,2016-04-29,2016-06-11,55.55,,1876,1876
3089,2016-05-09,2016-04-24,2016-06-25,187.28,,1877,1877
28750,2016-05-13,2016-04-25,2016-06-12,4.56,,1878,1878
2000,2016-05-09,2016-04-28,2016-06-25,375.14,,1879,1879
653,2016-05-15,2016-04-27,2016-06-23,121.57,,1880,1880
8673,2016-05-11,2016-04-27,2016-06-22,212.08,,1881,1881
12331,2016-05-16,2016-04-26,2016-06-09,3.16,,1882,1882
8664,2016-05-10,2016-04-26,2016-06-21,472.64,,1883,1883
8735,2016-05-16,2016-04-27,2016-06-11,10.25,,1884,1884
90056,2016-05-12,2016-04-25,2016-06-12,13.77,,1885,1885
8920,2016-05-10,2016-04-25,2016-06-21,5.65,,1886,1886
28776,2016-05-11,2016-04-24,2016-06-15,4.44,,1887,1887
90017,2016-05-15,2016-04-27,2016-06-12,1.79,,1888,1888
